N,P,K,temprature,humidity,ph,rainfall,label
65,43,43,15.04,50,6.72,286.31,Barley
62,43,42,16.61,51,6.75,169.54,Barley
68,45,37,15.56,54,6.76,230.3,Barley
68,43,40,14.53,47,6.73,55.78,Barley
63,43,40,15.0,53,6.52,117.64,Barley
65,35,44,16.98,46,6.46,214.25,Barley
72,44,47,14.81,53,6.57,59.26,Barley
63,37,37,15.52,57,6.45,135.25,Barley
60,40,45,15.07,46,6.89,117.68,Barley
60,33,38,16.46,56,6.43,165.93,Barley
65,47,38,14.8,49,6.74,321.61,Barley
73,33,43,16.06,48,6.71,131.46,Barley
66,41,40,16.99,57,6.53,204.86,Barley
67,32,44,17.26,49,6.53,275.52,Barley
59,46,42,15.2,51,6.63,284.96,Barley
61,41,37,15.27,52,6.71,108.62,Barley
63,34,37,16.12,52,6.75,89.67,Barley
59,37,44,14.05,54,6.67,134.31,Barley
59,32,41,14.75,49,6.76,185.9,Barley
61,42,44,17.09,47,6.52,117.94,Barley
64,41,36,16.93,61,6.6,61.16,Barley
57,32,39,14.51,45,6.59,179.65,Barley
67,41,43,17.01,47,6.82,310.73,Barley
67,42,44,14.37,59,6.47,209.9,Barley
68,46,41,15.92,55,6.64,206.33,Barley
60,39,44,15.43,52,6.45,343.91,Barley
65,32,38,15.62,52,6.6,327.92,Barley
61,33,39,14.0,48,6.75,154.59,Barley
57,37,45,14.92,49,6.21,319.9,Barley
63,38,36,14.93,61,6.92,53.43,Barley
63,34,46,16.75,51,6.55,240.61,Barley
67,32,40,16.12,46,6.61,328.25,Barley
61,40,43,14.53,53,6.59,248.05,Barley
63,44,37,15.22,50,6.54,82.09,Barley
65,51,45,15.16,58,6.5,155.16,Barley
61,36,43,17.77,56,6.97,60.73,Barley
64,42,47,15.98,53,6.48,89.1,Barley
64,37,45,15.91,56,6.58,202.89,Barley
60,42,42,15.8,54,6.41,198.32,Barley
60,31,34,15.08,50,6.34,267.91,Barley
65,46,42,14.64,53,6.35,60.02,Barley
64,47,41,15.13,55,6.67,103.99,Barley
60,40,40,16.51,46,6.58,160.59,Barley
63,42,43,13.68,54,6.58,128.88,Barley
67,38,35,15.57,57,6.45,140.92,Barley
66,37,37,15.52,54,6.66,128.57,Barley
69,41,39,15.31,52,6.87,109.19,Barley
63,36,37,15.32,57,6.4,237.13,Barley
