N,P,K,temperature,humidity,ph,rainfall,region,season,water_source,water_availability,label
62,26,16,31.99,52.52,7.09,439.67,Maharashtra,Kharif,rainfed,low,bajra
45,32,26,30.9,54.56,7.32,548.73,Maharashtra,Kharif,rainfed,low,bajra
39,21,25,28.94,49.72,7.31,444.17,Maharashtra,Kharif,rainfed,low,bajra
63,27,26,28.56,48.32,7.61,465.67,Maharashtra,Kharif,rainfed,low,bajra
60,27,18,27.94,53.78,6.97,456.61,Maharashtra,Kharif,rainfed,low,bajra
63,19,25,29.44,50.71,7.66,489.99,Maharashtra,Kharif,rainfed,low,bajra
49,27,31,28.92,44.17,7.17,492.46,Maharashtra,Kharif,rainfed,low,bajra
42,23,26,31.76,57.3,7.53,479.65,Maharashtra,Kharif,rainfed,low,bajra
57,28,25,31.14,53.92,7.61,415.01,Maharashtra,Kharif,rainfed,low,bajra
47,27,25,30.2,51.3,8.03,435.93,Maharashtra,Kharif,rainfed,low,bajra
54,27,24,28.41,54.99,7.19,558.21,Maharashtra,Kharif,rainfed,low,bajra
37,23,23,28.38,53.3,7.34,377.35,Maharashtra,Kharif,rainfed,low,bajra
48,27,21,30.14,54.07,6.64,480.07,Maharashtra,Kharif,rainfed,low,bajra
51,32,21,30.53,48.25,7.69,510.75,Maharashtra,Kharif,rainfed,low,bajra
56,25,21,32.4,45.79,7.21,364.79,Maharashtra,Kharif,rainfed,low,bajra
47,28,24,30.19,62.46,7.65,502.82,Maharashtra,Kharif,rainfed,low,bajra
51,30,24,32.26,53.18,7.23,481.8,Maharashtra,Kharif,rainfed,low,bajra
54,26,24,31.11,50.02,7.75,552.08,Maharashtra,Kharif,rainfed,low,bajra
53,23,28,28.91,50.04,7.62,331.92,Maharashtra,Kharif,rainfed,low,bajra
43,26,30,28.04,53.29,7.61,457.69,Maharashtra,Kharif,rainfed,low,bajra
40,21,26,30.57,49.17,7.01,409.0,Maharashtra,Kharif,rainfed,low,bajra
50,29,27,29.49,51.96,6.37,456.39,Maharashtra,Kharif,rainfed,low,bajra
56,28,26,27.77,49.29,7.28,404.94,Maharashtra,Kharif,rainfed,low,bajra
48,27,27,30.83,45.37,7.17,412.85,Maharashtra,Kharif,rainfed,low,bajra
44,24,27,30.66,56.99,7.34,413.5,Maharashtra,Kharif,rainfed,low,bajra
48,26,23,29.34,49.81,6.75,519.55,Maharashtra,Kharif,rainfed,low,bajra
38,20,28,31.42,59.17,7.34,417.2,Maharashtra,Kharif,rainfed,low,bajra
35,23,29,34.0,51.5,6.73,445.05,Maharashtra,Kharif,rainfed,low,bajra
56,23,21,29.07,49.28,7.77,439.04,Maharashtra,Kharif,rainfed,low,bajra
49,22,27,29.07,47.04,6.82,399.61,Maharashtra,Kharif,rainfed,low,bajra
55,28,24,30.92,53.08,7.36,347.32,Maharashtra,Kharif,rainfed,low,bajra
38,21,23,30.99,46.73,6.89,484.62,Maharashtra,Kharif,rainfed,low,bajra
59,23,28,31.24,55.01,6.96,455.1,Maharashtra,Kharif,rainfed,low,bajra
58,25,26,27.15,50.29,7.4,527.92,Maharashtra,Kharif,rainfed,low,bajra
43,23,29,30.21,56.21,7.28,458.57,Maharashtra,Kharif,rainfed,low,bajra
41,23,30,25.85,49.1,7.6,434.05,Maharashtra,Kharif,rainfed,low,bajra
54,31,25,29.16,52.06,7.93,498.5,Maharashtra,Kharif,rainfed,low,bajra
62,25,23,27.93,51.91,7.88,514.98,Maharashtra,Kharif,rainfed,low,bajra
56,19,22,28.4,53.41,6.92,563.9,Maharashtra,Kharif,rainfed,low,bajra
50,26,25,30.79,53.83,7.46,574.96,Maharashtra,Kharif,rainfed,low,bajra
55,23,27,29.22,58.17,7.2,301.57,Maharashtra,Kharif,rainfed,low,bajra
41,31,27,28.44,47.93,7.66,487.32,Maharashtra,Kharif,rainfed,low,bajra
45,26,22,30.83,56.09,7.18,572.04,Maharashtra,Kharif,rainfed,low,bajra
47,18,24,27.9,54.57,7.59,348.13,Maharashtra,Kharif,rainfed,low,bajra
57,24,30,30.77,52.67,7.36,467.02,Maharashtra,Kharif,rainfed,low,bajra
50,27,28,30.3,51.35,7.47,605.4,Maharashtra,Kharif,rainfed,low,bajra
53,26,22,27.1,54.75,7.85,454.86,Maharashtra,Kharif,rainfed,low,bajra
68,29,28,27.94,56.29,7.5,351.36,Maharashtra,Kharif,rainfed,low,bajra
51,23,20,30.01,53.94,7.13,535.42,Maharashtra,Kharif,rainfed,low,bajra
46,23,27,31.6,55.12,8.02,507.39,Maharashtra,Kharif,rainfed,low,bajra
44,23,27,28.17,52.51,7.85,483.77,Maharashtra,Kharif,rainfed,low,bajra
55,24,28,25.08,52.2,7.21,466.88,Maharashtra,Kharif,rainfed,low,bajra
54,24,21,30.83,54.65,7.15,516.49,Maharashtra,Kharif,rainfed,low,bajra
55,23,23,32.44,50.29,7.65,491.29,Maharashtra,Kharif,rainfed,low,bajra
56,29,27,28.21,46.87,7.47,562.53,Maharashtra,Kharif,rainfed,low,bajra
50,29,21,32.55,52.36,7.49,482.46,Maharashtra,Kharif,rainfed,low,bajra
63,29,30,27.7,49.14,6.95,552.18,Maharashtra,Kharif,rainfed,low,bajra
57,24,28,30.23,58.01,7.23,374.09,Maharashtra,Kharif,rainfed,low,bajra
43,32,31,30.25,57.82,7.14,517.26,Maharashtra,Kharif,rainfed,low,bajra
42,22,27,28.33,43.87,7.41,424.1,Maharashtra,Kharif,rainfed,low,bajra
54,26,23,31.39,55.46,7.07,539.38,Maharashtra,Kharif,rainfed,low,bajra
58,22,21,32.43,52.46,7.29,431.87,Maharashtra,Kharif,rainfed,low,bajra
46,27,30,28.56,52.3,7.97,488.36,Maharashtra,Kharif,rainfed,low,bajra
60,25,22,31.8,48.01,8.0,553.41,Maharashtra,Kharif,rainfed,low,bajra
49,24,28,29.59,49.17,7.65,517.51,Maharashtra,Kharif,rainfed,low,bajra
56,22,22,32.36,46.12,7.24,583.0,Maharashtra,Kharif,rainfed,low,bajra
61,26,31,31.09,52.25,6.56,479.99,Maharashtra,Kharif,rainfed,low,bajra
53,24,24,31.79,56.38,7.04,413.99,Maharashtra,Kharif,rainfed,low,bajra
64,26,23,28.62,52.76,6.4,447.29,Maharashtra,Kharif,rainfed,low,bajra
50,25,22,31.16,50.49,7.3,354.81,Maharashtra,Kharif,rainfed,low,bajra
55,26,24,27.38,56.47,7.43,439.63,Maharashtra,Kharif,rainfed,low,bajra
49,19,27,31.03,52.47,6.13,460.24,Maharashtra,Kharif,rainfed,low,bajra
55,27,23,29.41,49.93,7.94,527.2,Maharashtra,Kharif,rainfed,low,bajra
48,26,28,31.77,53.7,7.3,410.41,Maharashtra,Kharif,rainfed,low,bajra
56,25,30,33.88,51.97,7.01,417.28,Maharashtra,Kharif,rainfed,low,bajra
52,24,22,27.12,55.1,7.44,507.48,Maharashtra,Kharif,rainfed,low,bajra
46,26,22,28.86,50.75,7.37,475.17,Maharashtra,Kharif,rainfed,low,bajra
51,21,21,29.19,50.03,6.76,472.93,Maharashtra,Kharif,rainfed,low,bajra
59,20,25,29.59,49.24,7.43,560.22,Maharashtra,Kharif,rainfed,low,bajra
57,28,22,29.91,54.57,7.05,484.61,Maharashtra,Kharif,rainfed,low,bajra
50,26,21,28.13,52.25,7.46,488.49,Maharashtra,Kharif,rainfed,low,bajra
49,22,27,29.78,54.14,7.54,465.05,Maharashtra,Kharif,rainfed,low,bajra
41,32,31,32.7,54.09,7.11,495.79,Maharashtra,Kharif,rainfed,low,bajra
55,18,25,30.9,56.21,7.55,537.01,Maharashtra,Kharif,rainfed,low,bajra
40,19,26,28.03,46.62,7.41,523.06,Maharashtra,Kharif,rainfed,low,bajra
56,29,23,29.55,49.31,7.35,494.22,Maharashtra,Kharif,rainfed,low,bajra
42,24,26,29.15,58.36,7.64,485.75,Maharashtra,Kharif,rainfed,low,bajra
52,21,23,31.65,58.77,7.6,539.19,Maharashtra,Kharif,rainfed,low,bajra
35,25,23,26.7,51.04,7.09,549.39,Maharashtra,Kharif,rainfed,low,bajra
36,28,21,30.85,52.32,7.3,472.53,Maharashtra,Kharif,rainfed,low,bajra
61,25,22,28.5,50.61,7.21,554.94,Maharashtra,Kharif,rainfed,low,bajra
59,20,31,30.94,52.41,7.74,456.19,Maharashtra,Kharif,rainfed,low,bajra
53,25,22,30.26,51.68,7.24,613.66,Maharashtra,Kharif,rainfed,low,bajra
50,31,23,29.83,50.69,8.11,485.48,Maharashtra,Kharif,rainfed,low,bajra
61,24,28,28.24,52.59,6.77,475.63,Maharashtra,Kharif,rainfed,low,bajra
64,31,26,29.19,44.88,7.25,505.28,Maharashtra,Kharif,rainfed,low,bajra
47,21,26,28.76,50.76,6.78,416.0,Maharashtra,Kharif,rainfed,low,bajra
47,23,25,29.22,61.09,7.09,491.9,Maharashtra,Kharif,rainfed,low,bajra
41,24,29,29.18,51.31,7.14,481.83,Maharashtra,Kharif,rainfed,low,bajra
54,22,23,27.63,49.99,7.01,456.74,Maharashtra,Kharif,rainfed,low,bajra
53,30,22,31.51,51.89,8.29,496.15,Maharashtra,Kharif,rainfed,low,bajra
35,29,24,30.81,56.99,6.8,420.7,Maharashtra,Kharif,rainfed,low,bajra
51,22,24,27.21,51.73,7.25,580.49,Maharashtra,Kharif,rainfed,low,bajra
43,26,20,30.44,48.82,7.28,469.9,Maharashtra,Kharif,rainfed,low,bajra
51,31,26,31.1,52.62,6.82,435.14,Maharashtra,Kharif,rainfed,low,bajra
41,24,29,29.84,50.66,7.3,481.04,Maharashtra,Kharif,rainfed,low,bajra
46,26,27,30.1,52.8,7.37,406.4,Maharashtra,Kharif,rainfed,low,bajra
58,26,29,30.36,62.47,7.12,475.94,Maharashtra,Kharif,rainfed,low,bajra
53,29,24,30.11,50.77,7.55,538.88,Maharashtra,Kharif,rainfed,low,bajra
58,19,31,28.45,54.98,7.28,471.48,Maharashtra,Kharif,rainfed,low,bajra
59,29,25,28.15,56.35,6.84,384.3,Maharashtra,Kharif,rainfed,low,bajra
47,27,23,30.96,52.0,7.13,475.98,Maharashtra,Kharif,rainfed,low,bajra
47,17,25,27.88,49.48,7.6,414.97,Maharashtra,Kharif,rainfed,low,bajra
48,23,27,30.44,57.27,6.99,473.26,Maharashtra,Kharif,rainfed,low,bajra
50,25,27,27.2,51.2,7.61,468.93,Maharashtra,Kharif,rainfed,low,bajra
56,31,23,27.11,51.92,7.16,560.13,Maharashtra,Kharif,rainfed,low,bajra
38,22,24,33.12,51.2,7.56,497.07,Maharashtra,Kharif,rainfed,low,bajra
49,24,24,29.76,53.76,7.36,545.35,Maharashtra,Kharif,rainfed,low,bajra
51,24,30,29.7,52.06,6.93,373.11,Maharashtra,Kharif,rainfed,low,bajra
60,17,26,30.23,51.52,6.31,471.44,Maharashtra,Kharif,rainfed,low,bajra
55,27,19,31.63,42.14,7.68,438.01,Maharashtra,Kharif,rainfed,low,bajra
